sjob.COMM,year,Total Biomass.mt,SSB.mt,Total Biomass.g,SSB.g
SPINY DOGFISH,2010,NA,2850,NA,2850000000
WHITE HAKE,2000,NA,NA,NA,NA
WHITE HAKE,2001,NA,NA,NA,NA
WHITE HAKE,2002,NA,NA,NA,NA
WHITE HAKE,2003,NA,NA,NA,NA
WHITE HAKE,2004,NA,NA,NA,NA
WHITE HAKE,2005,NA,NA,NA,NA
WHITE HAKE,2006,NA,NA,NA,NA
WHITE HAKE,2007,NA,NA,NA,NA
WHITE HAKE,2008,NA,NA,NA,NA
WHITE HAKE,2009,NA,NA,NA,NA
WHITE HAKE,2010,NA,NA,NA,NA
WITCH FLOUNDER,2000,NA,8130,NA,8130000000
WITCH FLOUNDER,2001,NA,7870,NA,7870000000
WITCH FLOUNDER,2002,NA,7620,NA,7620000000
WITCH FLOUNDER,2003,NA,7310,NA,7310000000
WITCH FLOUNDER,2004,NA,7060,NA,7060000000
WITCH FLOUNDER,2005,NA,7060,NA,7060000000
WITCH FLOUNDER,2006,NA,6570,NA,6570000000
WITCH FLOUNDER,2007,NA,5720,NA,5720000000
WITCH FLOUNDER,2008,NA,5670,NA,5670000000
WITCH FLOUNDER,2009,NA,5310,NA,5310000000
WITCH FLOUNDER,2010,NA,5430,NA,5430000000
"TURBOT,GREENLAND HALIBUT",2000,26700,19700,26700000000,19700000000
"TURBOT,GREENLAND HALIBUT",2001,26900,19800,26900000000,19800000000
"TURBOT,GREENLAND HALIBUT",2002,28300,19300,28300000000,19300000000
"TURBOT,GREENLAND HALIBUT",2003,27100,19300,27100000000,19300000000
"TURBOT,GREENLAND HALIBUT",2004,31400,23900,31400000000,23900000000
"TURBOT,GREENLAND HALIBUT",2005,32100,23900,32100000000,23900000000
"TURBOT,GREENLAND HALIBUT",2006,32700,23000,32700000000,23000000000
"TURBOT,GREENLAND HALIBUT",2007,37000,22800,37000000000,22800000000
"TURBOT,GREENLAND HALIBUT",2008,33600,17500,33600000000,17500000000
"TURBOT,GREENLAND HALIBUT",2009,32800,20800,32800000000,20800000000
"TURBOT,GREENLAND HALIBUT",2010,31900,15800,31900000000,15800000000
HADDOCK,2000,60200,21900,60200000000,21900000000
HADDOCK,2001,85400,20600,85400000000,20600000000
HADDOCK,2002,65800,23800,65800000000,23800000000
HADDOCK,2003,67900,26400,67900000000,26400000000
HADDOCK,2004,40300,27200,40300000000,27200000000
HADDOCK,2005,43500,25600,43500000000,25600000000
HADDOCK,2006,46600,23500,46600000000,23500000000
HADDOCK,2007,54800,38100,54800000000,38100000000
HADDOCK,2008,43300,37900,43300000000,37900000000
HADDOCK,2009,60800,38100,60800000000,38100000000
HADDOCK,2010,45500,42700,45500000000,42700000000
NORTHERN SAND LANCE,2000,NA,NA,NA,NA
NORTHERN SAND LANCE,2001,NA,NA,NA,NA
NORTHERN SAND LANCE,2002,NA,NA,NA,NA
NORTHERN SAND LANCE,2003,NA,NA,NA,NA
NORTHERN SAND LANCE,2004,NA,NA,NA,NA
NORTHERN SAND LANCE,2005,NA,NA,NA,NA
NORTHERN SAND LANCE,2006,NA,NA,NA,NA
NORTHERN SAND LANCE,2007,NA,NA,NA,NA
NORTHERN SAND LANCE,2008,NA,NA,NA,NA
NORTHERN SAND LANCE,2009,NA,NA,NA,NA
NORTHERN SAND LANCE,2010,NA,NA,NA,NA
