"","Year","MainSpecies","sum"
"336",1986,"witch flounder",31.6767676767677
"337",1987,"witch flounder",46.1363636363636
"338",1988,"witch flounder",36.6909090909091
"339",1989,"witch flounder",55.1666666666667
"340",1990,"witch flounder",22.3529411764706
"341",1991,"witch flounder",35.9885057471264
"342",1992,"witch flounder",51.7741935483871
"343",1993,"witch flounder",75.875
"344",1994,"witch flounder",44.4571428571429
"345",1995,"witch flounder",31.5769230769231
"346",1996,"witch flounder",39.0188679245283
"347",1997,"witch flounder",19.66
"348",1998,"witch flounder",76.4166666666667
"349",1999,"witch flounder",29.3870967741935
"350",2000,"witch flounder",32.5483870967742
"351",2001,"witch flounder",28.3225806451613
"352",2002,"witch flounder",74.3529411764706
"353",2004,"witch flounder",0.4
"354",2005,"witch flounder",4.84615384615385
"355",2006,"witch flounder",1.8
"356",2007,"witch flounder",1.25
"357",2008,"witch flounder",2.41666666666667
"358",2012,"witch flounder",0.789473684210526
"359",2013,"witch flounder",0
"360",2014,"witch flounder",0.666666666666667
"361",2015,"witch flounder",0.411764705882353
"362",2016,"witch flounder",2.2
"363",1975,"yellowtail flounder",26.7
"364",1978,"yellowtail flounder",44.1304347826087
"365",1979,"yellowtail flounder",116.872340425532
"366",1980,"yellowtail flounder",119.613636363636
"367",1981,"yellowtail flounder",124.821428571429
"368",1982,"yellowtail flounder",151.595238095238
"369",1983,"yellowtail flounder",154.59375
"370",1984,"yellowtail flounder",92.9433962264151
"371",1985,"yellowtail flounder",15.0540540540541
"372",1986,"yellowtail flounder",9.74074074074074
"373",1987,"yellowtail flounder",12.7777777777778
"374",1989,"yellowtail flounder",63.4166666666667
"375",1990,"yellowtail flounder",74.1971830985916
"376",1991,"yellowtail flounder",92.0196078431373
"377",1992,"yellowtail flounder",112.238095238095
"378",1993,"yellowtail flounder",96.0357142857143
"379",1994,"yellowtail flounder",124.95
"380",1995,"yellowtail flounder",77.8857142857143
"381",1996,"yellowtail flounder",85.6190476190476
"382",1997,"yellowtail flounder",37.7142857142857
"383",1998,"yellowtail flounder",25.8333333333333
"384",1999,"yellowtail flounder",22
"385",2001,"yellowtail flounder",9.6
"386",2002,"yellowtail flounder",90.6666666666667
"387",2010,"yellowtail flounder",4.5
